in_fill,time,lumi_inst,lumi_in_fill,lumi_since_last_point,lumi_last_fill,fill_num,time_in_fill,time_in_fill_stable,time_from_last_fill,last_dump_duration,last_fill_duration
1,1511155493,11410.396569756002,20624459.01479311,436348.1766623139,48012405.14478679,6398,31909,31120.0,37582,5673,110136
1,1511156393,11265.399227236001,21066646.276972596,442187.2621794829,48012405.14478679,6398,32818,32029.0,38482,5664,110136
1,1511157293,11134.604756538998,21503390.867774356,436744.5908017659,48012405.14478679,6398,33727,32938.0,39382,5655,110136
1,1511158193,11095.7686344,21925279.50292478,421888.63515043695,48012405.14478679,6398,34613,33824.0,40282,5669,110136
1,1511159093,10963.67659104,22355305.995211154,430026.492286369,48012405.14478679,6398,35522,34733.0,41182,5660,110136
1,1511159993,10833.910788145,22769301.34290808,413995.347696919,48012405.14478679,6398,36408,35619.0,42082,5674,110136
1,1511160893,10710.223088772,23189256.182186294,419954.83927821397,48012405.14478679,6398,37317,36528.0,42982,5665,110136
1,1511161793,10580.798752367,23604474.805839803,415218.62365350896,48012405.14478679,6398,38226,37437.0,43882,5656,110136
1,1511162693,10461.391477726,24004206.55403352,399731.74819371593,48012405.14478679,6398,39112,38323.0,44782,5670,110136
1,1511163593,10344.12690531,24409779.3533109,405572.79927737004,48012405.14478679,6398,40021,39232.0,45682,5661,110136
1,1511164493,10230.454133535999,24800502.68622304,390723.332912134,48012405.14478679,6398,40907,40118.0,46582,5675,110136
1,1511165393,10120.567371472,25197256.56491334,396753.8786902951,48012405.14478679,6398,41816,41027.0,47482,5666,110136
1,1511166293,10004.041931729,25589471.45262111,392214.88770776906,48012405.14478679,6398,42725,41936.0,48382,5657,110136
1,1511167193,9895.890957656,25977525.60600519,388054.1533840781,48012405.14478679,6398,43619,42830.0,49282,5663,110136
1,1511168093,9788.743041398,26361371.731245313,383846.125240126,48012405.14478679,6398,44528,43739.0,50182,5654,110136
1,1511168993,9664.736639968001,26731028.432751935,369656.7015066211,48012405.14478679,6398,45414,44625.0,51082,5668,110136
1,1511169893,9548.919031804,27105640.685903464,374612.253151518,48012405.14478679,6398,46323,45534.0,51982,5659,110136
1,1511170793,9458.205613158001,27466794.86753856,361154.181635096,48012405.14478679,6398,47209,46420.0,52882,5673,110136
0,1511171693,0.0,0.0,139164.034188265,27605958.901726827,0,0,0.0,570,570,47559
0,1511172593,0.0,0.0,0.0,27605958.901726827,0,0,0.0,1470,1470,47559
0,1511173493,0.0,0.0,0.0,27605958.901726827,0,0,0.0,2370,2370,47559
0,1511174393,0.0,0.0,0.0,27605958.901726827,0,0,0.0,3270,3270,47559
0,1511175293,0.0,0.0,0.0,27605958.901726827,0,0,0.0,4170,4170,47559
0,1511176193,0.0,0.0,0.0,27605958.901726827,0,0,0.0,5070,5070,47559
